Segmento,Subgrupo / Família,Raça / Linha Base,Mutação / Sub-variedade,Categoria / Plumagem,Código / Classe Estimada FOB
Canto,Canários de Canto,Harz Roller,Clássico,Não Aplicável (Julgado por Melodia),Classe Canto
Canto,Canários de Canto,Harz Roller,Melânico,Não Aplicável (Julgado por Melodia),Classe Canto
Canto,Canários de Canto,Harz Roller,Lipocrômico,Não Aplicável (Julgado por Melodia),Classe Canto
Canto,Canários de Canto,Harz Roller,Pintado / Variegado,Não Aplicável (Julgado por Melodia),Classe Canto
Canto,Canários de Canto,Malinois Waterslager,Clássico,Não Aplicável (Julgado por Melodia),Classe Canto
Canto,Canários de Canto,Malinois Waterslager,Melânico,Não Aplicável (Julgado por Melodia),Classe Canto
Canto,Canários de Canto,Malinois Waterslager,Lipocrômico,Não Aplicável (Julgado por Melodia),Classe Canto
Canto,Canários de Canto,Malinois Waterslager,Pintado / Variegado,Não Aplicável (Julgado por Melodia),Classe Canto
Canto,Canários de Canto,Timbrado Espanhol,Clássico,Não Aplicável (Julgado por Melodia),Classe Canto
Canto,Canários de Canto,Timbrado Espanhol,Melânico,Não Aplicável (Julgado por Melodia),Classe Canto
Canto,Canários de Canto,Timbrado Espanhol,Lipocrômico,Não Aplicável (Julgado por Melodia),Classe Canto
Canto,Canários de Canto,Timbrado Espanhol,Pintado / Variegado,Não Aplicável (Julgado por Melodia),Classe Canto
Porte,Frisados,Frisado Parisiense,Amarelo,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado Parisiense,Branco,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado Parisiense,Verde,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado Parisiense,Canela,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Frisado Parisiense,Pintado,Padrão de Porte Oficial FOB,Classe Porte FRI
Porte,Frisados,Gigante Italiano (AGI),Amarelo,Padrão de Porte Oficial FOB,Classe Porte GIG
Porte,Frisados,Gigante Italiano (AGI),Branco,Padrão de Porte Oficial FOB,Classe Porte GIG
Porte,Frisados,Gigante Italiano (AGI),Verde,Padrão de Porte Oficial FOB,Classe Porte GIG
